Time,Channel A
(ms),(mV)

13.84447992,-1.89214800
13.84959992,-3.74767300
13.85471992,1.81890300
13.85983992,1.81890300
13.86495992,1.81890300
13.87007992,5.52995400
13.87519992,3.67442800
13.88031992,-1.89214800
13.88543992,-1.89214800
13.89055992,-7.45872400
13.89567992,3.67442800
13.90079992,-0.03662221
13.90591992,-1.89214800
13.91103992,11.09653000
13.91615992,3.67442800
13.92127992,-1.89214800
13.92639992,-9.31424900
13.93151992,3.67442800
13.93663992,3.67442800
13.94175992,-0.03662221
13.94687992,7.38547900
13.95199992,-1.89214800
13.95711992,-3.74767300
13.96223992,-5.60319800
13.96735992,1.81890300
13.97247992,1.81890300
13.97759992,-0.03662221
13.98271992,7.38547900
13.98783991,1.81890300
13.99295991,-3.74767300
13.99807991,-5.60319800
14.00319991,1.81890300
14.00831991,3.67442800
14.01343991,-1.89214800
14.01855991,5.52995400
14.02367991,5.52995400
14.02879991,-5.60319800
14.03391991,-5.60319800
14.03903991,-1.89214800
14.04415991,-0.03662221
14.04927991,3.67442800
14.05439991,5.52995400
14.05951991,3.67442800
14.06463991,-1.89214800
14.06975991,-1.89214800
14.07487991,-1.89214800
14.07999991,1.81890300
14.08511991,-1.89214800
14.09023991,5.52995400
14.09535991,5.52995400
14.10047991,-5.60319800
14.10559991,-1.89214800
14.11071991,-1.89214800
14.11583991,1.81890300
14.12095991,-1.89214800
14.12607991,7.38547900
14.13119991,9.24100500
14.13631991,-1.89214800
14.14143991,3.67442800
14.14655991,-7.45872400
14.15167991,3.67442800
14.15679991,-0.03662221
14.16191991,1.81890300
14.16703991,3.67442800
14.17215991,-1.89214800
14.17727991,-1.89214800
14.18239991,-9.31424900
14.18751991,3.67442800
14.19263991,5.52995400
14.19775991,-1.89214800
14.20287991,7.38547900
14.20799991,1.81890300
14.21311991,-1.89214800
14.21823991,-3.74767300
14.22335991,1.81890300
14.22847991,1.81890300
14.23359991,1.81890300
14.23871991,1.81890300
14.24383991,-1.89214800
14.24895991,1.81890300
14.25407991,-7.45872400
14.25919991,-1.89214800
14.26431991,5.52995400
14.26943991,-0.03662221
14.27455991,7.38547900
14.27967991,5.52995400
14.28479991,-1.89214800
14.28991991,-1.89214800
14.29503991,-3.74767300
14.30015991,5.52995400
14.30527991,-0.03662221
14.31039991,5.52995400
14.31551991,3.67442800
14.32063991,-3.74767300
14.32575991,-1.89214800
14.33087991,-5.60319800
14.33599991,1.81890300
14.34111991,-1.89214800
14.34623991,3.67442800
14.35135991,7.38547900
